name,description,website,projects,potential,more
Penta Falcon,"Provides a one-stop automated solution for your trade and industry. Depending on your organization's field, Penta Falcon have different products and services to meet your valuable requirements.",https://pentafalcon.com/,"Ongoing focus on improving strategy, human resources, supply chain, and shareholder value. Specialized in Electrical Items, Safety Items, and Reber Work Pile & Formwork.",partner,"A key player, works on mega projects"
MidTechbd,"An industrial flooring and construction Chemical company specializes in waterproofing and industrial cladding such as PU, Epoxy, Hardener flooring ETC. PU, epoxy, and floor hardener and more.",http://www.midtechbd.org,"Offers a wide range of products including PU Flooring System, Epoxy Flooring System, Floor Hardener System, Waterproofing System, Crack Injection System, ETP Protective Coating, Epoxy Anchoring System, Construction Chemicals, Expansion Joint System, Water Plug System, Water Repellent System, Membrane waterproofing, Fair Face Plaster System, and Concrete Curing Compound.",partner,
Hilti Group,"A key player in the construction material market and has a global presence with over 33,000 employees in 120+ countries specialized in product development, manufacturing, logistics, sales, and services.",https://www.hilti.group/content/hilti/CP/XX/en.html,"Hilti is contributing in all of the construction pillars from engineering, tools and services, training and advice, logistics and administration, quality and testing, and construction products.",partner,"A key player, works on mega projects"
Nakshi Homes,"One of the foremost and pioneer Real Estate Developers & Construction Company, specializing in superior quality residential as well as commercial developments.",http://www.nakshihomes.com,"ongoing real estate projects including Nakshi Joynal Square, Nakshi Paradise, Nakshi Talukder Garden, and Nakshi Heaven in various locations.",customer,"A key player, works on mega projects"
Next Plan Development,"Launched at July 2003 only but within short span of time have turned into as one of the most trusted real estate developer, Architectural And Engineering Design Studio In Sylhet, Bangladesh.",http://www.npdbd.com/,"Featured projects and services are showcasing their expertise in commercial and residential development , consulting and project supervision.",partner,
Falcon Solution ,"Provides Green & Sustainable Solutions for Industrial, Commercial and Residential Flooring & Construction Chemicals Company dealing with all types of Construction Chemicals.",https://www.falconsolutionbd.com,"PU Flooring, Epoxy Flooring, Fair Face Plaster, Waterproofing Coating, Waterproofing Membrane, Water Plug Solution, Water Repellent Solution, Roof Top Crack Solution, Floor Hardener Solution, Expansion Joint Solution, ETP Protective Coating, Epoxy Anchoring Solution, and Crack Injection Solution.",partner,
BTI - Building Technology and Ideas ,"Legacy of nearly 4 decades in manufacturing building products. Produces approximately 25,000 Concrete Hollow blocks per day and 6.5 million annually.",https://btibuildingproducts.com/,"manufacturing building products for the construction sector. Unipavers for outdoor flooring, customizable and cost-effective. Pavement Tiles for residential use, high compressive strength and various designs. Building Blocks with low salinity, high strength, and sound/heat insulation.",partner,
Arif Traders,"A registered building material supply store in Mannara Bazar, Nangalkot, Comilla offering a wide range of materials.",https://arif-traders-mannara-bazar.business.site/,"Offers a wide range of building materials including Bricks, Sand, Cement, TMT Steel Bar.",partner,
Mirpur Ceramic Works,"One of the largest structural clay products manufacturer in Bangladesh, was established in 1958 and incorporated as Private Limited Company in 1962.",https://mirpurceramic.com,"Produces a variety of quality clay products including bricks, blocks, pavers, and unglazed tiles.",partner,
Kai Bangladesh Aluminium,Aluminum Extrusion Company in Bangladesh with ISO-9001:2008 certified established in 1997.,http://www.kaialuminium.net,"Focus on producing quality products and enhance building materials through innovative design, quality control. Producing aluminum doors, windows, office partitions and more.",partner,
SIMEX Bangladesh,"Founded in 2005 with import-export business only, now they sell their own construction material brand, privide construction services and shipping containers.",https://simex.com.bd,"SIMEX offers a wide range of construction services including jetty construction, sheet piling driving, steel building, container homes, temporary buildings, bridges in addition to  constructing container restaurants, bathrooms, toilets, and office spaces, utilizing shipping containers.  Also underground installations, including gas lines, oil lines, and water lines.",partner,"A key player, works on mega projects"
Lite Weight Concrete,"Lite Weight Concrete is a Pioneer in Concrete Block Manufacturing in Bangladesh,  started it's journey from 2016 with headquarter at Mipur DOHS,Dhaka.",https://liteweightconcretebd.com/,"Increasing resistance against earthquakes, reducing potential damage, superior thermal insulation, reducing heating and cooling expenses Weatherproof, termite resistant, and fireproof. ",partner,
Optimal Trading Limited,"An authorized sole distributor in Bangladesh for Astral CPVC. The corporation also deals as a local indentor of machineries, specially dealing with small and midsized businesses.",https://optimaltradingbd.com/,"currently engaged in marketing CPVC and have plans to expand their business format. Providing quality building components, particularly in plumbing, electrical, and power generation sections.",partner,
MG Corporation International,"A Leading Industrial, commercial, Residential  Flooring & Construction chemicals Supplier applicator company in Bangladesh that Supply and Apply all types of construction chemicals",http://www.mgci-bd.com,"supplying and applying various construction chemicals including waterproofing, heat proofing, damp proofing, and crack repairs, epoxy flooring and more.",partner,
